  123:  4 18 12 19  2  5 16  1  8 15  c
  124:  4 18 12 19  5  8 16  2  1 15  c
  125:  4 18 12 19  5 15 16  1  8  2  c
  126:  4 18 12 19  5 15 16  2  1  8  c
  127:  4 18 12 19  5 15 16  2  8  1  c
  128:  4 18 16 19  2  5 15  1 12  8  c
  129:  4 18 16 19  5  8 15  1 12  2  c
  130:  4 18 16 19  5  8 15  2 12  1  c
  131:  4 18 16 19  5 12 15  1  8  2  c
  132:  4 18 16 19  5 12 15  2  1  8  c
  133:  4 18 16 19  5 12 15  2  8  1  c
  134:  4 19  c 12  2  5 16  1  8 15 18
  135:  4 19  c 12  5  8 16  2  1 15 18
  136:  4 19  c 12  5 15 16  1  8  2 18
  137:  4 19  c 12  5 15 16  2  1  8 18
  138:  4 19  c 12  5 15 16  2  8  1 18
  139:  4 19  c 12 18  5 16  1  8  2 15
  140:  4 19  c 12 18  5 16  2  1  8 15
  141:  4 19  c 12 18  5 16  2  8  1 15
  142:  4 19  c 12 18  8 16  2  1 15  5
  143:  4 19  c 12 18 15 16  1  8  2  5
  144:  4 19  c 12 18 15 16  2  1  8  5
  145:  4 19  c 12 18 15 16  2  8  1  5
  146:  4 19 12  c  2  5 16  1  8 15 18
  147:  4 19 12  c  5  8 16  2  1 15 18
  148:  4 19 12  c  5 15 16  1  8  2 18
  149:  4 19 12  c  5 15 16  2  1  8 18
  150:  4 19 12  c  5 15 16  2  8  1 18
  151:  4 19 12  c 18  5 16  1  8  2 15
  152:  4 19 12  c 18  5 16  2  1  8 15
  153:  4 19 12  c 18  5 16  2  8  1 15
  154:  4 19 12  c 18  8 16  2  1 15  5
  155:  4 19 12  c 18 15 16  1  8  2  5
  156:  4 19 12  c 18 15 16  2  1  8  5
  157:  4 19 12  c 18 15 16  2  8  1  5
  158:  4 19 16  c  2  5 15  1 12  8 18
  159:  4 19 16  c  5  8 15  1 12  2 18
  160:  4 19 16  c  5  8 15  2 12  1 18
  161:  4 19 16  c  5 12 15  1  8  2 18
  162:  4 19 16  c  5 12 15  2  1  8 18
  163:  4 19 16  c  5 12 15  2  8  1 18
  164:  4 19 16  c 18  8 15  1 12  2  5
  165:  4 19 16  c 18  8 15  2 12  1  5
  166:  4 19 16  c 18 12 15  1  8  2  5
  167:  4 19 16  c 18 12 15  2  1  8  5
  168:  4 19 16  c 18 12 15  2  8  1  5
  169:  4 19 16 12 18  5 15  1  8  2  c
  170:  4 19 16 12 18  5 15  2  1  8  c
  171:  4 19 16 12 18  5 15  2  8  1  c
  172:  c  4 12 19  2  5 16  1  8 15 18
  173:  c  4 12 19  5  8 16  2  1 15 18
  174:  c  4 12 19  5 15 16  1  8  2 18
  175:  c  4 12 19  5 15 16  2  1  8 18
  176:  c  4 12 19  5 15 16  2  8  1 18
  177:  c  4 12 19 18  5 16  1  8  2 15
  178:  c  4 12 19 18  5 16  2  1  8 15
  179:  c  4 12 19 18  5 16  2  8  1 15
  180:  c  4 12 19 18  8 16  2  1 15  5
  181:  c  4 12 19 18 15 16  1  8  2  5
  182:  c  4 12 19 18 15 16  2  1  8  5
  183:  c  4 12 19 18 15 16  2  8  1  5
  184:  c  4 16 19  2  5 15  1 12  8 18
  185:  c  4 16 19  5  8 15  1 12  2 18
  186:  c  4 16 19  5  8 15  2 12  1 18
  187:  c  4 16 19  5 12 15  1  8  2 18
  188:  c  4 16 19  5 12 15  2  1  8 18
  189:  c  4 16 19  5 12 15  2  8  1 18
  190:  c  4 16 19 18  8 15  1 12  2  5
  191:  c  4 16 19 18  8 15  2 12  1  5
  192:  c  4 16 19 18 12 15  1  8  2  5
  193:  c  4 16 19 18 12 15  2  1  8  5
  194:  c  4 16 19 18 12 15  2  8  1  5
  195:  c 12 16 19  2  5  4  1  8 15 18
  196:  c 12 16 19  2  5 15  4  1  8 18
  197:  c 12 16 19  2  5 15  4  8  1 18
  198:  c 12 16 19  5  8  4  2  1 15 18
  199:  c 12 16 19  5  8 15  4  1  2 18
  200:  c 12 16 19  5 15  4  1  8  2 18
  201:  c 12 16 19  5 15  4  2  1  8 18
  202:  c 12 16 19  5 15  4  2  8  1 18
  203:  c 12 16 19 18  5  4  1  8  2 15
  204:  c 12 16 19 18  5  4  2  1  8 15
  205:  c 12 16 19 18  5  4  2  8  1 15
  206:  c 12 16 19 18  5 15  1  8  2  4
  207:  c 12 16 19 18  5 15  2  1  8  4
  208:  c 12 16 19 18  5 15  2  8  1  4
  209:  c 12 16 19 18  8  4  2  1 15  5
  210:  c 12 16 19 18  8 15  4  1  2  5
  211:  c 12 16 19 18 15  4  1  8  2  5
  212:  c 12 16 19 18 15  4  2  1  8  5
  213:  c 12 16 19 18 15  4  2  8  1  5
  214:  c 18 12 19  2  5 16  1  8 15  4
  215:  c 18 12 19  2  5 16  4  1  8 15
  216:  c 18 12 19  2  5 16  4  8  1 15
  217:  c 18 12 19  2  8 16  4  1 15  5
  218:  c 18 12 19  2 15 16  4  1  8  5
  219:  c 18 12 19  2 15 16  4  8  1  5
  220:  c 18 12 19  5  8 16  2  1 15  4
  221:  c 18 12 19  5  8 16  4  1  2 15
  222:  c 18 12 19  5 15 16  1  8  2  4
  223:  c 18 12 19  5 15 16  2  1  8  4
  224:  c 18 12 19  5 15 16  2  8  1  4
  225:  c 18 16 19  2  5  4  1 12  8 15
  226:  c 18 16 19  2  5 15  1 12  8  4
  227:  c 18 16 19  2  8  4  1 12 15  5
  228:  c 18 16 19  2  8 15  4 12  1  5
  229:  c 18 16 19  2 12  4  1  8 15  5
  230:  c 18 16 19  2 12 15  4  1  8  5
  231:  c 18 16 19  2 12 15  4  8  1  5
  232:  c 18 16 19  2 15  4  1 12  8  5
  233:  c 18 16 19  5  8  4  1 12  2 15
  234:  c 18 16 19  5  8  4  2 12  1 15
  235:  c 18 16 19  5  8 15  1 12  2  4
  236:  c 18 16 19  5  8 15  2 12  1  4
  237:  c 18 16 19  5 12  4  1  8  2 15
  238:  c 18 16 19  5 12  4  2  1  8 15
  239:  c 18 16 19  5 12  4  2  8  1 15
  240:  c 18 16 19  5 12 15  1  8  2  4
  241:  c 18 16 19  5 12 15  2  1  8  4
  242:  c 18 16 19  5 12 15  2  8  1  4
  243:  c 19 16 12  2  5  4  1  8 15 18
  244:  c 19 16 12  2  5 15  4  1  8 18
  245:  c 19 16 12  2  5 15  4  8  1 18
  246:  c 19 16 12  5  8  4  2  1 15 18
  247:  c 19 16 12  5  8 15  4  1  2 18
  248:  c 19 16 12  5 15  4  1  8  2 18
  249:  c 19 16 12  5 15  4  2  1  8 18
  250:  c 19 16 12  5 15  4  2  8  1 18
  251:  c 19 16 12 18  5  4  1  8  2 15
  252:  c 19 16 12 18  5  4  2  1  8 15
  253:  c 19 16 12 18  5  4  2  8  1 15
  254:  c 19 16 12 18  5 15  1  8  2  4
  255:  c 19 16 12 18  5 15  2  1  8  4
  256:  c 19 16 12 18  5 15  2  8  1  4
  257:  c 19 16 12 18  8  4  2  1 15  5
  258:  c 19 16 12 18  8 15  4  1  2  5
  259:  c 19 16 12 18 15  4  1  8  2  5
  260:  c 19 16 12 18 15  4  2  1  8  5
  261:  c 19 16 12 18 15  4  2  8  1  5
  262: 15  4  c 19  2  5 16  1 12  8 18
  263: 15  4  c 19  5  8 16  1 12  2 18
  264: 15  4  c 19  5  8 16  2 12  1 18
  265: 15  4  c 19  5 12 16  1  8  2 18
  266: 15  4  c 19  5 12 16  2  1  8 18
  267: 15  4  c 19  5 12 16  2  8  1 18
  268: 15  4  c 19 18  8 16  1 12  2  5
  269: 15  4  c 19 18  8 16  2 12  1  5
  270: 15  4  c 19 18 12 16  1  8  2  5
  271: 15  4  c 19 18 12 16  2  1  8  5
  272: 15  4  c 19 18 12 16  2  8  1  5
  273: 15  4 12 19 18  5 16  1  8  2  c
  274: 15  4 12 19 18  5 16  2  1  8  c
  275: 15  4 12 19 18  5 16  2  8  1  c
  276: 15  c 12 19  2  5 16  4  1  8 18
  277: 15  c 12 19  2  5 16  4  8  1 18
  278: 15  c 12 19  5  8 16  4  1  2 18
  279: 15  c 12 19 18  5 16  1  8  2  4
  280: 15  c 12 19 18  5 16  2  1  8  4
  281: 15  c 12 19 18  5 16  2  8  1  4
  282: 15  c 12 19 18  8 16  4  1  2  5
  283: 15  c 16 19  2  5  4  1 12  8 18
  284: 15  c 16 19  5  8  4  1 12  2 18
  285: 15  c 16 19  5  8  4  2 12  1 18
  286: 15  c 16 19  5 12  4  1  8  2 18
  287: 15  c 16 19  5 12  4  2  1  8 18
  288: 15  c 16 19  5 12  4  2  8  1 18
  289: 15  c 16 19 18  8  4  1 12  2  5
  290: 15  c 16 19 18  8  4  2 12  1  5
  291: 15  c 16 19 18 12  4  1  8  2  5
  292: 15  c 16 19 18 12  4  2  1  8  5
  293: 15  c 16 19 18 12  4  2  8  1  5
  294: 15 12  c 19  2  5 16  4  1  8 18
  295: 15 12  c 19  2  5 16  4  8  1 18
  296: 15 12  c 19  5  8 16  4  1  2 18
  297: 15 12  c 19 18  5 16  1  8  2  4
  298: 15 12  c 19 18  5 16  2  1  8  4
  299: 15 12  c 19 18  5 16  2  8  1  4
  300: 15 12  c 19 18  8 16  4  1  2  5
  301: 15 12 16 19 18  5  4  1  8  2  c
  302: 15 12 16 19 18  5  4  2  1  8  c
  303: 15 12 16 19 18  5  4  2  8  1  c
  304: 15 18  c 19  2  5 16  1 12  8  4
  305: 15 18  c 19  2  8 16  4 12  1  5
  306: 15 18  c 19  2 12 16  4  1  8  5
  307: 15 18  c 19  2 12 16  4  8  1  5
  308: 15 18  c 19  5  8 16  1 12  2  4
  309: 15 18  c 19  5  8 16  2 12  1  4
  310: 15 18  c 19  5 12 16  1  8  2  4
  311: 15 18  c 19  5 12 16  2  1  8  4
  312: 15 18  c 19  5 12 16  2  8  1  4
  313: 15 18 12 19  2  5 16  4  1  8  c
  314: 15 18 12 19  2  5 16  4  8  1  c
  315: 15 18 12 19  5  8 16  4  1  2  c
  316: 15 18 16 19  2  5  4  1 12  8  c
  317: 15 18 16 19  5  8  4  1 12  2  c
  318: 15 18 16 19  5  8  4  2 12  1  c
  319: 15 18 16 19  5 12  4  1  8  2  c
  320: 15 18 16 19  5 12  4  2  1  8  c
  321: 15 18 16 19  5 12  4  2  8  1  c
  322: 15 19  c 12  2  5 16  4  1  8 18
  323: 15 19  c 12  2  5 16  4  8  1 18
  324: 15 19  c 12  5  8 16  4  1  2 18
  325: 15 19  c 12 18  5 16  1  8  2  4
  326: 15 19  c 12 18  5 16  2  1  8  4
  327: 15 19  c 12 18  5 16  2  8  1  4
  328: 15 19  c 12 18  8 16  4  1  2  5
  329: 15 19 12  c  2  5 16  4  1  8 18
  330: 15 19 12  c  2  5 16  4  8  1 18
  331: 15 19 12  c  5  8 16  4  1  2 18
  332: 15 19 12  c 18  5 16  1  8  2  4
  333: 15 19 12  c 18  5 16  2  1  8  4
  334: 15 19 12  c 18  5 16  2  8  1  4
  335: 15 19 12  c 18  8 16  4  1  2  5
  336: 15 19 16  c  2  5  4  1 12  8 18
  337: 15 19 16  c  5  8  4  1 12  2 18
  338: 15 19 16  c  5  8  4  2 12  1 18
  339: 15 19 16  c  5 12  4  1  8  2 18
  340: 15 19 16  c  5 12  4  2  1  8 18
  341: 15 19 16  c  5 12  4  2  8  1 18
  342: 15 19 16  c 18  8  4  1 12  2  5
  343: 15 19 16  c 18  8  4  2 12  1  5
  344: 15 19 16  c 18 12  4  1  8  2  5
  345: 15 19 16  c 18 12  4  2  1  8  5
  346: 15 19 16  c 18 12  4  2  8  1  5
  347: 15 19 16 12 18  5  4  1  8  2  c
  348: 15 19 16 12 18  5  4  2  1  8  c
  349: 15 19 16 12 18  5  4  2  8  1  c
  350: 16  4  c 19  2  5 15  1 12  8 18
  351: 16  4  c 19  5  8 15  1 12  2 18
  352: 16  4  c 19  5  8 15  2 12  1 18
  353: 16  4  c 19  5 12 15  1  8  2 18
  354: 16  4  c 19  5 12 15  2  1  8 18
  355: 16  4  c 19  5 12 15  2  8  1 18
  356: 16  4  c 19 18  8 15  1 12  2  5
  357: 16  4  c 19 18  8 15  2 12  1  5
  358: 16  4  c 19 18 12 15  1  8  2  5
  359: 16  4  c 19 18 12 15  2  1  8  5
  360: 16  4  c 19 18 12 15  2  8  1  5
  361: 16  4 12 19 18  5 15  1  8  2  c
  362: 16  4 12 19 18  5 15  2  1  8  c
  363: 16  4 12 19 18  5 15  2  8  1  c
  364: 16  c 12 19  2  5  4  1  8 15 18
  365: 16  c 12 19  2  5 15  4  1  8 18
  366: 16  c 12 19  2  5 15  4  8  1 18
  367: 16  c 12 19  5  8  4  2  1 15 18
  368: 16  c 12 19  5  8 15  4  1  2 18
  369: 16  c 12 19  5 15  4  1  8  2 18
  370: 16  c 12 19  5 15  4  2  1  8 18
  371: 16  c 12 19  5 15  4  2  8  1 18
  372: 16  c 12 19 18  5  4  1  8  2 15
  373: 16  c 12 19 18  5  4  2  1  8 15
  374: 16  c 12 19 18  5  4  2  8  1 15
  375: 16  c 12 19 18  5 15  1  8  2  4
  376: 16  c 12 19 18  5 15  2  1  8  4
  377: 16  c 12 19 18  5 15  2  8  1  4
  378: 16  c 12 19 18  8  4  2  1 15  5
  379: 16  c 12 19 18  8 15  4  1  2  5
  380: 16  c 12 19 18 15  4  1  8  2  5
  381: 16  c 12 19 18 15  4  2  1  8  5
  382: 16  c 12 19 18 15  4  2  8  1  5
  383: 16 12  c 19  2  5  4  1  8 15 18
  384: 16 12  c 19  2  5 15  4  1  8 18
  385: 16 12  c 19  2  5 15  4  8  1 18
  386: 16 12  c 19  5  8  4  2  1 15 18
  387: 16 12  c 19  5  8 15  4  1  2 18
  388: 16 12  c 19  5 15  4  1  8  2 18
  389: 16 12  c 19  5 15  4  2  1  8 18
  390: 16 12  c 19  5 15  4  2  8  1 18
  391: 16 12  c 19 18  5  4  1  8  2 15
  392: 16 12  c 19 18  5  4  2  1  8 15
  393: 16 12  c 19 18  5  4  2  8  1 15
  394: 16 12  c 19 18  5 15  1  8  2  4
  395: 16 12  c 19 18  5 15  2  1  8  4
  396: 16 12  c 19 18  5 15  2  8  1  4
  397: 16 12  c 19 18  8  4  2  1 15  5
  398: 16 12  c 19 18  8 15  4  1  2  5
  399: 16 12  c 19 18 15  4  1  8  2  5
  400: 16 12  c 19 18 15  4  2  1  8  5
  401: 16 12  c 19 18 15  4  2  8  1  5
  402: 16 18  c 19  2  5  4  1 12  8 15
  403: 16 18  c 19  2  5 15  1 12  8  4
  404: 16 18  c 19  2  8  4  1 12 15  5
  405: 16 18  c 19  2  8 15  4 12  1  5
  406: 16 18  c 19  2 12  4  1  8 15  5
  407: 16 18  c 19  2 12 15  4  1  8  5
  408: 16 18  c 19  2 12 15  4  8  1  5
  409: 16 18  c 19  2 15  4  1 12  8  5
  410: 16 18  c 19  5  8  4  1 12  2 15
